Respondent_ID,Churn_reason,Market,Gender,AOV,App_use,Date,Age_group,Churn_type
4835057337327250,Reason for Hard Credit Checks,Spain,Female,114,0,2023-03-01,Age 18-24,Hard Credit Checks
7800105880663614,Reason for General sentiment,Spain,Male,111,1,2023-05-01,Age 25-34,General sentiment
8014186031332275,Reason for Security Concerns,Italy,Female,131,0,2023-06-01,Age 35-44,Security Concerns
3433323388866818,Reason for Unclear terms,Sweden,Male,117,1,2023-03-01,Age 18-24,Unclear terms
2799138191352552,Reason for Security Concerns,Germany,Female,105,1,2023-06-01,Age 35-44,Security Concerns
4964459832311842,Reason for Unclassified,USA,Male,143,1,2023-01-01,Age 18-24,Unclassified
2474846083165899,Reason for Negative Customer Service Experiences,Italy,Male,121,1,2023-04-01,Age 18-24,Negative Customer Service Experiences
5338602001211680,Reason for High interest rates,UK,Male,116,0,2023-02-01,Age 18-24,High interest rates
4666539132463731,Reason for High interest rates,USA,Female,149,1,2023-02-01,Age 35-44,High interest rates
8616360479654035,Reason for Lack of need,Sweden,Male,120,0,2023-03-01,Age 18-24,Lack of need
4753328605529242,Reason for Account Suspension Issues,Spain,Female,113,0,2023-05-01,Age 55+,Account Suspension Issues
3884893584666701,Reason for Limited acceptance,Germany,Female,123,1,2023-01-01,Age 35-44,Limited acceptance
7755143001988918,Reason for Late payment penalties,USA,Male,96,1,2023-04-01,Age 18-24,Late payment penalties
8392147196943324,Reason for Late payment penalties,Germany,Male,137,1,2023-05-01,Age 55+,Late payment penalties
4159711908847197,Reason for Account Suspension Issues,Australia,Male,107,0,2023-05-01,Age 25-34,Account Suspension Issues
6529045725871356,Reason for General sentiment,Sweden,Male,126,0,2023-03-01,Age 25-34,General sentiment
5389689653693101,Reason for General sentiment,France,Female,111,0,2023-04-01,Age 25-34,General sentiment
4245798604376759,Reason for Security Concerns,Spain,Female,116,1,2023-04-01,Age 25-34,Security Concerns
9943179991067295,Reason for High interest rates,UK,Male,124,0,2023-04-01,Age 25-34,High interest rates
4411059571468741,Reason for Negative Customer Service Experiences,USA,Male,102,1,2023-01-01,Age 35-44,Negative Customer Service Experiences
6389968984552926,Reason for Technical Issues,Sweden,Female,114,0,2023-01-01,Age 18-24,Technical Issues
7927924425154672,Reason for Hard Credit Checks,France,Male,126,0,2023-05-01,Age 55+,Hard Credit Checks
4295113465707715,Reason for Better alternatives,Italy,Female,120,0,2023-01-01,Age 18-24,Better alternatives
9490362378578279,Reason for Security Concerns,UK,Male,125,0,2023-06-01,Age 45-54,Security Concerns
2030962595511525,Reason for Limited acceptance,Germany,Male,126,0,2023-01-01,Age 45-54,Limited acceptance
2588227818624710,Reason for Hard Credit Checks,Australia,Female,141,1,2023-02-01,Age 25-34,Hard Credit Checks
4609856110610423,Reason for Account Suspension Issues,Germany,Male,115,0,2023-06-01,Age 55+,Account Suspension Issues
4284336575670733,Reason for Better alternatives,UK,Female,139,0,2023-05-01,Age 25-34,Better alternatives
4986432471123978,Reason for Better alternatives,UK,Female,112,1,2023-05-01,Age 25-34,Better alternatives
5386019445329674,Reason for Security Concerns,USA,Female,131,1,2023-01-01,Age 55+,Security Concerns
7125900983610125,Reason for Late payment penalties,Sweden,Male,121,1,2023-06-01,Age 25-34,Late payment penalties
7693436133364520,Reason for Unclassified,USA,Male,103,1,2023-06-01,Age 55+,Unclassified
7655081072395153,Reason for Lack of need,France,Female,137,1,2023-02-01,Age 35-44,Lack of need
1141484057876426,Reason for Hard Credit Checks,Italy,Female,115,0,2023-04-01,Age 55+,Hard Credit Checks
7670768954069343,Reason for Technical Issues,Spain,Female,127,1,2023-01-01,Age 45-54,Technical Issues
3348835632964213,Reason for Security Concerns,USA,Male,135,0,2023-03-01,Age 55+,Security Concerns
7062363741088949,Reason for Better alternatives,USA,Male,125,0,2023-06-01,Age 35-44,Better alternatives
7870308034172840,Reason for Unclassified,UK,Male,108,1,2023-03-01,Age 55+,Unclassified
2306702162684217,Reason for General sentiment,Spain,Female,123,0,2023-03-01,Age 35-44,General sentiment
9973448005691496,Reason for Account Suspension Issues,Sweden,Female,103,1,2023-04-01,Age 25-34,Account Suspension Issues
4565807546253686,Reason for General sentiment,Spain,Female,121,0,2023-04-01,Age 45-54,General sentiment
5330883199644738,Reason for Unclear terms,Australia,Female,125,0,2023-01-01,Age 45-54,Unclear terms
8310057017135794,Reason for Hard Credit Checks,Sweden,Female,127,1,2023-01-01,Age 45-54,Hard Credit Checks
6473865420158216,Reason for General sentiment,Australia,Male,114,0,2023-06-01,Age 45-54,General sentiment
8424047646876746,Reason for Technical Issues,Spain,Female,125,0,2023-02-01,Age 35-44,Technical Issues
5140216937253321,Reason for Negative Customer Service Experiences,Germany,Female,125,1,2023-03-01,Age 35-44,Negative Customer Service Experiences
4326574297453696,Reason for Limited acceptance,Italy,Female,103,0,2023-05-01,Age 45-54,Limited acceptance
5598346743191341,Reason for Unclassified,Sweden,Female,112,0,2023-04-01,Age 55+,Unclassified
1201449332464122,Reason for Lack of need,Australia,Male,136,0,2023-04-01,Age 25-34,Lack of need
6278530623864930,Reason for Late payment penalties,Germany,Male,130,1,2023-04-01,Age 35-44,Late payment penalties
9804692220629843,Reason for Late payment penalties,Australia,Female,122,1,2023-02-01,Age 35-44,Late payment penalties
7161111395079725,Reason for General sentiment,UK,Male,109,0,2023-06-01,Age 45-54,General sentiment
7415775613283869,Reason for Account Suspension Issues,France,Female,113,0,2023-01-01,Age 25-34,Account Suspension Issues
6996419671002706,Reason for Unclear terms,USA,Male,125,0,2023-01-01,Age 45-54,Unclear terms
7007118661458718,Reason for Security Concerns,Germany,Female,138,0,2023-01-01,Age 35-44,Security Concerns
4517363257729112,Reason for Security Concerns,France,Female,118,0,2023-06-01,Age 18-24,Security Concerns
8373118167712354,Reason for Technical Issues,UK,Female,113,1,2023-05-01,Age 55+,Technical Issues
2063244282150099,Reason for Hard Credit Checks,Australia,Female,133,0,2023-05-01,Age 18-24,Hard Credit Checks
7938518785350252,Reason for General sentiment,France,Female,108,1,2023-04-01,Age 25-34,General sentiment
6360200476170983,Reason for Security Concerns,UK,Female,141,0,2023-06-01,Age 18-24,Security Concerns
8522841062435648,Reason for High interest rates,Australia,Female,122,1,2023-03-01,Age 25-34,High interest rates
3505406444126583,Reason for General sentiment,France,Male,106,0,2023-06-01,Age 55+,General sentiment
2856577313214400,Reason for Late payment penalties,Sweden,Male,135,1,2023-05-01,Age 55+,Late payment penalties
4838636098927939,Reason for Security Concerns,Germany,Female,126,1,2023-03-01,Age 45-54,Security Concerns
4354401252240333,Reason for Technical Issues,Italy,Female,115,1,2023-03-01,Age 18-24,Technical Issues
3458859577964835,Reason for Negative Customer Service Experiences,UK,Female,131,0,2023-05-01,Age 45-54,Negative Customer Service Experiences
7946145642786114,Reason for Lack of need,Sweden,Female,120,0,2023-01-01,Age 55+,Lack of need
7023199249218422,Reason for Unclassified,France,Male,130,0,2023-02-01,Age 45-54,Unclassified
8900341046762921,Reason for Negative Customer Service Experiences,Sweden,Female,127,1,2023-06-01,Age 18-24,Negative Customer Service Experiences
3018119365981420,Reason for General sentiment,Italy,Female,136,1,2023-06-01,Age 55+,General sentiment
6923164566983139,Reason for Lack of need,Germany,Female,116,0,2023-05-01,Age 55+,Lack of need
5400180332214574,Reason for Unclassified,Australia,Male,122,0,2023-03-01,Age 45-54,Unclassified
5061153066753207,Reason for Hard Credit Checks,Germany,Female,119,1,2023-06-01,Age 18-24,Hard Credit Checks
6144701285354559,Reason for Better alternatives,UK,Female,113,1,2023-02-01,Age 18-24,Better alternatives
2675851050316647,Reason for Technical Issues,Australia,Male,86,0,2023-01-01,Age 55+,Technical Issues
7621672187152223,Reason for High interest rates,Australia,Female,132,1,2023-02-01,Age 18-24,High interest rates
8421910124530986,Reason for Lack of need,Germany,Male,105,0,2023-02-01,Age 25-34,Lack of need
8704321516807686,Reason for Unclear terms,Italy,Female,129,0,2023-02-01,Age 18-24,Unclear terms
8774059640096201,Reason for Technical Issues,Sweden,Female,124,1,2023-02-01,Age 45-54,Technical Issues
9073113498854198,Reason for Account Suspension Issues,Italy,Male,96,1,2023-06-01,Age 45-54,Account Suspension Issues
2565268505256204,Reason for Unclear terms,USA,Female,121,0,2023-02-01,Age 35-44,Unclear terms
9790929123770347,Reason for Limited acceptance,Germany,Male,120,0,2023-01-01,Age 45-54,Limited acceptance
7772952832637225,Reason for Security Concerns,Germany,Female,130,0,2023-06-01,Age 18-24,Security Concerns
2790174190993399,Reason for General sentiment,Australia,Male,118,0,2023-06-01,Age 55+,General sentiment
4097093481877389,Reason for General sentiment,Australia,Female,132,0,2023-04-01,Age 55+,General sentiment
1517716638550120,Reason for Account Suspension Issues,Sweden,Male,117,0,2023-05-01,Age 25-34,Account Suspension Issues
1217642235482638,Reason for High interest rates,Australia,Male,107,1,2023-06-01,Age 25-34,High interest rates
9504544684117139,Reason for Unclear terms,Germany,Male,121,0,2023-05-01,Age 45-54,Unclear terms
6817330390435317,Reason for Unclear terms,Sweden,Male,125,1,2023-01-01,Age 25-34,Unclear terms
8147203854774839,Reason for Hard Credit Checks,Germany,Male,122,0,2023-04-01,Age 45-54,Hard Credit Checks
4697587256692299,Reason for Security Concerns,USA,Male,117,1,2023-02-01,Age 18-24,Security Concerns
9593922259655862,Reason for High interest rates,USA,Female,115,0,2023-05-01,Age 18-24,High interest rates
9560017239999585,Reason for Technical Issues,Australia,Male,94,0,2023-04-01,Age 55+,Technical Issues
1629335784987996,Reason for High interest rates,Sweden,Male,133,0,2023-02-01,Age 55+,High interest rates
8296997213752982,Reason for Negative Customer Service Experiences,UK,Female,119,1,2023-04-01,Age 18-24,Negative Customer Service Experiences
7982427737274544,Reason for Better alternatives,Italy,Male,120,1,2023-01-01,Age 35-44,Better alternatives
9420154569472344,Reason for Unclear terms,USA,Female,108,1,2023-04-01,Age 18-24,Unclear terms
2767346310629339,Reason for Technical Issues,Italy,Male,117,0,2023-04-01,Age 45-54,Technical Issues
7888860145684728,Reason for Limited acceptance,Germany,Male,124,0,2023-02-01,Age 18-24,Limited acceptance
6890128998664300,Reason for Account Suspension Issues,Sweden,Male,116,1,2023-01-01,Age 55+,Account Suspension Issues
3216535582060587,Reason for General sentiment,USA,Male,120,1,2023-04-01,Age 45-54,General sentiment
9747461048034608,Reason for Technical Issues,Italy,Male,125,1,2023-05-01,Age 18-24,Technical Issues
8539464819716197,Reason for General sentiment,Sweden,Female,100,1,2023-02-01,Age 18-24,General sentiment
1437455403972089,Reason for Late payment penalties,UK,Female,142,0,2023-01-01,Age 35-44,Late payment penalties
4512033731490729,Reason for Negative Customer Service Experiences,Australia,Female,116,1,2023-03-01,Age 18-24,Negative Customer Service Experiences
4024083454679475,Reason for Late payment penalties,Spain,Male,119,1,2023-03-01,Age 55+,Late payment penalties
7550632405346627,Reason for Late payment penalties,Germany,Male,142,0,2023-06-01,Age 35-44,Late payment penalties
7829174896869470,Reason for Hard Credit Checks,Sweden,Female,109,1,2023-02-01,Age 55+,Hard Credit Checks
3714134895583164,Reason for Lack of need,UK,Male,103,0,2023-01-01,Age 18-24,Lack of need
5616267318283536,Reason for Security Concerns,France,Male,103,0,2023-03-01,Age 45-54,Security Concerns
2540633119233935,Reason for Account Suspension Issues,Australia,Female,100,1,2023-02-01,Age 18-24,Account Suspension Issues
9692837136893549,Reason for Technical Issues,USA,Male,133,1,2023-02-01,Age 55+,Technical Issues
4576122066346352,Reason for Unclassified,Sweden,Male,131,1,2023-02-01,Age 55+,Unclassified
2700827084320454,Reason for Unclear terms,Italy,Female,105,1,2023-01-01,Age 45-54,Unclear terms
5421535215265377,Reason for Security Concerns,Italy,Male,124,1,2023-01-01,Age 25-34,Security Concerns
7056906612326972,Reason for Limited acceptance,Germany,Male,128,0,2023-04-01,Age 25-34,Limited acceptance
3066295947416556,Reason for High interest rates,UK,Female,113,1,2023-04-01,Age 25-34,High interest rates
1304813149501177,Reason for Technical Issues,Australia,Male,128,0,2023-01-01,Age 55+,Technical Issues
9375317681197626,Reason for Limited acceptance,UK,Female,116,0,2023-01-01,Age 35-44,Limited acceptance
5279222143818205,Reason for Technical Issues,Sweden,Female,115,0,2023-02-01,Age 55+,Technical Issues
3144419701157180,Reason for Late payment penalties,Spain,Male,133,0,2023-06-01,Age 18-24,Late payment penalties
4712044063709303,Reason for Negative Customer Service Experiences,Spain,Male,128,1,2023-05-01,Age 35-44,Negative Customer Service Experiences
5655166430773123,Reason for Limited acceptance,UK,Male,104,1,2023-01-01,Age 45-54,Limited acceptance
2897353718586194,Reason for Limited acceptance,Italy,Male,120,0,2023-01-01,Age 45-54,Limited acceptance
6489842543253651,Reason for Better alternatives,Germany,Male,114,1,2023-04-01,Age 18-24,Better alternatives
4476999644974190,Reason for Negative Customer Service Experiences,UK,Male,116,0,2023-05-01,Age 45-54,Negative Customer Service Experiences
4629868840581831,Reason for Security Concerns,Australia,Male,137,0,2023-04-01,Age 18-24,Security Concerns
6810380665005857,Reason for Negative Customer Service Experiences,Spain,Male,114,0,2023-06-01,Age 18-24,Negative Customer Service Experiences
6294700378036475,Reason for Limited acceptance,France,Male,145,1,2023-05-01,Age 55+,Limited acceptance
2878727408647329,Reason for Negative Customer Service Experiences,France,Female,124,1,2023-06-01,Age 35-44,Negative Customer Service Experiences
4778312363992394,Reason for Unclear terms,UK,Female,113,1,2023-05-01,Age 35-44,Unclear terms
2477010486262780,Reason for Limited acceptance,Italy,Female,126,1,2023-03-01,Age 45-54,Limited acceptance
8019951099086822,Reason for Unclassified,Australia,Female,130,0,2023-03-01,Age 55+,Unclassified
1813656679728040,Reason for General sentiment,Australia,Male,102,0,2023-04-01,Age 35-44,General sentiment
9082376804635187,Reason for Unclear terms,Australia,Female,97,0,2023-03-01,Age 45-54,Unclear terms
7202008786638073,Reason for Unclear terms,France,Male,118,0,2023-01-01,Age 18-24,Unclear terms
7423874623275343,Reason for Late payment penalties,Australia,Male,115,1,2023-03-01,Age 55+,Late payment penalties
1304974039450124,Reason for Unclear terms,France,Female,106,1,2023-04-01,Age 35-44,Unclear terms
3348154321047869,Reason for High interest rates,Germany,Female,124,1,2023-04-01,Age 25-34,High interest rates
6908332325188051,Reason for Technical Issues,Spain,Female,102,1,2023-03-01,Age 35-44,Technical Issues
3947971922702630,Reason for Hard Credit Checks,Sweden,Female,100,0,2023-03-01,Age 18-24,Hard Credit Checks
2075221195487770,Reason for Limited acceptance,France,Female,127,0,2023-02-01,Age 35-44,Limited acceptance
6482764279496792,Reason for Lack of need,Australia,Female,116,1,2023-06-01,Age 45-54,Lack of need
9003273978095974,Reason for Limited acceptance,Germany,Male,116,0,2023-02-01,Age 55+,Limited acceptance
4891249469255779,Reason for General sentiment,Australia,Male,129,0,2023-01-01,Age 25-34,General sentiment
8523162509457453,Reason for Unclassified,UK,Female,118,1,2023-03-01,Age 35-44,Unclassified
6696287635443614,Reason for Technical Issues,Italy,Male,104,0,2023-06-01,Age 25-34,Technical Issues
6772337269762183,Reason for Negative Customer Service Experiences,UK,Male,97,0,2023-04-01,Age 25-34,Negative Customer Service Experiences
6280367077656232,Reason for Account Suspension Issues,UK,Female,105,1,2023-02-01,Age 25-34,Account Suspension Issues
5021570242274887,Reason for Late payment penalties,Australia,Female,128,0,2023-01-01,Age 35-44,Late payment penalties
3046286390614804,Reason for Limited acceptance,UK,Female,149,1,2023-04-01,Age 35-44,Limited acceptance
1716773244896567,Reason for Technical Issues,Sweden,Male,113,1,2023-04-01,Age 35-44,Technical Issues
3861596831221194,Reason for Security Concerns,Australia,Female,100,1,2023-01-01,Age 18-24,Security Concerns
9845165465809452,Reason for Unclassified,Italy,Female,124,0,2023-06-01,Age 18-24,Unclassified
3071839487997560,Reason for Technical Issues,Germany,Female,118,0,2023-02-01,Age 45-54,Technical Issues
3250768518859732,Reason for Security Concerns,Australia,Male,123,1,2023-01-01,Age 18-24,Security Concerns
6812145322377360,Reason for Limited acceptance,France,Female,94,0,2023-01-01,Age 18-24,Limited acceptance
6529152582082083,Reason for Security Concerns,Germany,Female,119,1,2023-03-01,Age 35-44,Security Concerns
4805467194078049,Reason for Lack of need,Spain,Male,113,1,2023-01-01,Age 55+,Lack of need
5695956231232951,Reason for General sentiment,Australia,Female,119,1,2023-05-01,Age 35-44,General sentiment
2321005920561648,Reason for Security Concerns,Germany,Female,123,0,2023-02-01,Age 55+,Security Concerns
8304190546356721,Reason for General sentiment,Spain,Male,126,1,2023-05-01,Age 55+,General sentiment
5144130478069779,Reason for Unclear terms,Sweden,Male,114,0,2023-02-01,Age 45-54,Unclear terms
2794421431880338,Reason for Late payment penalties,Australia,Female,126,1,2023-01-01,Age 35-44,Late payment penalties
6471525400931345,Reason for Lack of need,Spain,Female,138,0,2023-03-01,Age 35-44,Lack of need
9981366311884969,Reason for Late payment penalties,Germany,Female,124,0,2023-03-01,Age 18-24,Late payment penalties
2105153236413292,Reason for Late payment penalties,UK,Male,141,1,2023-01-01,Age 35-44,Late payment penalties
7268610765707658,Reason for Late payment penalties,Australia,Female,94,0,2023-01-01,Age 45-54,Late payment penalties
6725366828510020,Reason for Unclassified,UK,Male,116,1,2023-02-01,Age 25-34,Unclassified
5501885509496797,Reason for Unclassified,Spain,Female,123,1,2023-05-01,Age 45-54,Unclassified
1994690827682685,Reason for Account Suspension Issues,Australia,Male,132,1,2023-05-01,Age 18-24,Account Suspension Issues
3804597794877346,Reason for High interest rates,USA,Male,117,0,2023-02-01,Age 18-24,High interest rates
7438602865515910,Reason for Lack of need,France,Male,133,1,2023-06-01,Age 35-44,Lack of need
8074729608336018,Reason for Limited acceptance,Sweden,Female,118,0,2023-06-01,Age 18-24,Limited acceptance
9533974650344022,Reason for Unclassified,Sweden,Male,146,1,2023-03-01,Age 55+,Unclassified
1428989559201648,Reason for Security Concerns,UK,Male,111,0,2023-02-01,Age 35-44,Security Concerns
1415759691933958,Reason for Negative Customer Service Experiences,France,Male,124,1,2023-03-01,Age 25-34,Negative Customer Service Experiences
9653510905598897,Reason for Unclear terms,Italy,Female,104,0,2023-01-01,Age 25-34,Unclear terms
9629925002621946,Reason for Negative Customer Service Experiences,France,Male,121,1,2023-01-01,Age 55+,Negative Customer Service Experiences
1243440077169160,Reason for Negative Customer Service Experiences,Sweden,Female,121,0,2023-05-01,Age 18-24,Negative Customer Service Experiences
3824509877435582,Reason for Lack of need,USA,Male,122,0,2023-01-01,Age 35-44,Lack of need
7514089973619246,Reason for Negative Customer Service Experiences,France,Female,135,1,2023-01-01,Age 18-24,Negative Customer Service Experiences
1915999154951713,Reason for Late payment penalties,Australia,Female,106,0,2023-04-01,Age 35-44,Late payment penalties
2395304672836491,Reason for Unclear terms,Sweden,Female,129,0,2023-05-01,Age 18-24,Unclear terms
4534074763822184,Reason for Unclassified,UK,Male,127,1,2023-04-01,Age 18-24,Unclassified
6677104476516578,Reason for Late payment penalties,UK,Female,106,0,2023-02-01,Age 55+,Late payment penalties
2275494093849546,Reason for Late payment penalties,Italy,Male,115,0,2023-06-01,Age 18-24,Late payment penalties
7544262477618140,Reason for High interest rates,Italy,Male,116,0,2023-06-01,Age 55+,High interest rates
7858709229273472,Reason for Lack of need,Germany,Female,137,1,2023-03-01,Age 18-24,Lack of need
8014947564919985,Reason for Unclassified,UK,Female,120,1,2023-01-01,Age 18-24,Unclassified
4221618727877094,Reason for Technical Issues,Spain,Female,117,1,2023-05-01,Age 55+,Technical Issues
9243031698263638,Reason for Late payment penalties,UK,Male,107,0,2023-06-01,Age 25-34,Late payment penalties
8046481847614155,Reason for Late payment penalties,Australia,Female,120,0,2023-01-01,Age 45-54,Late payment penalties
2644024461101105,Reason for Unclassified,Italy,Female,119,1,2023-01-01,Age 25-34,Unclassified
7620875146054450,Reason for Better alternatives,Italy,Female,120,0,2023-04-01,Age 25-34,Better alternatives
8578696138069435,Reason for Limited acceptance,UK,Female,124,1,2023-06-01,Age 35-44,Limited acceptance
5150495554336626,Reason for Better alternatives,Australia,Female,100,1,2023-05-01,Age 45-54,Better alternatives
6889072713622618,Reason for Unclear terms,France,Male,105,0,2023-04-01,Age 45-54,Unclear terms
4121783829783760,Reason for Hard Credit Checks,Germany,Male,106,1,2023-05-01,Age 35-44,Hard Credit Checks
3903351555467168,Reason for General sentiment,Sweden,Female,109,0,2023-05-01,Age 25-34,General sentiment
4723245864507709,Reason for Unclear terms,Sweden,Female,136,0,2023-06-01,Age 55+,Unclear terms
8667738605475326,Reason for Negative Customer Service Experiences,France,Female,125,1,2023-01-01,Age 45-54,Negative Customer Service Experiences
9273240485972710,Reason for Negative Customer Service Experiences,Germany,Female,109,1,2023-05-01,Age 55+,Negative Customer Service Experiences
2361047278433868,Reason for Better alternatives,Spain,Female,108,1,2023-02-01,Age 18-24,Better alternatives
2127394849159711,Reason for Unclear terms,France,Female,108,1,2023-05-01,Age 45-54,Unclear terms
4835612237056440,Reason for Better alternatives,Italy,Male,105,1,2023-01-01,Age 45-54,Better alternatives
3447276553386260,Reason for General sentiment,Italy,Male,110,0,2023-06-01,Age 55+,General sentiment
5028484429515810,Reason for Negative Customer Service Experiences,Germany,Male,120,1,2023-04-01,Age 35-44,Negative Customer Service Experiences
6656020646912666,Reason for High interest rates,France,Female,124,0,2023-03-01,Age 35-44,High interest rates
4054886519388737,Reason for High interest rates,Germany,Male,134,0,2023-05-01,Age 45-54,High interest rates
1758163246577631,Reason for Limited acceptance,Sweden,Male,98,0,2023-01-01,Age 18-24,Limited acceptance
1590474108439219,Reason for Unclassified,USA,Female,131,1,2023-03-01,Age 45-54,Unclassified
8314931880071313,Reason for Lack of need,Italy,Female,109,1,2023-02-01,Age 45-54,Lack of need
4906671954888197,Reason for Late payment penalties,Australia,Female,116,1,2023-06-01,Age 55+,Late payment penalties
6994320589682702,Reason for Unclassified,UK,Female,124,1,2023-02-01,Age 35-44,Unclassified
6995201816638638,Reason for Hard Credit Checks,Australia,Male,119,0,2023-06-01,Age 25-34,Hard Credit Checks
2647834338365970,Reason for Late payment penalties,Australia,Male,90,0,2023-03-01,Age 25-34,Late payment penalties
7951455232796522,Reason for Limited acceptance,Australia,Male,127,1,2023-06-01,Age 55+,Limited acceptance
7297974168849728,Reason for Better alternatives,Sweden,Female,120,1,2023-06-01,Age 25-34,Better alternatives
7283051224060676,Reason for General sentiment,Germany,Female,104,0,2023-05-01,Age 55+,General sentiment
7318681279178233,Reason for Better alternatives,Australia,Male,121,1,2023-04-01,Age 55+,Better alternatives
5574437156908092,Reason for Lack of need,Australia,Female,112,0,2023-04-01,Age 45-54,Lack of need
2310800888840940,Reason for Unclassified,Spain,Female,110,1,2023-06-01,Age 18-24,Unclassified
1906595646192741,Reason for Unclear terms,Italy,Male,105,1,2023-05-01,Age 18-24,Unclear terms
